fighter_id,fighter_name,nickname,date_of_birth,height_cm,weight_kg,reach_cm,stance,fighter_style,wins,losses,draws,win_percentage,momentum,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,total_ufc_fights,wins_in_ufc,losses_in_ufc,draws_in_ufc,wins_by_dec,losses_by_dec,wins_by_sub,losses_by_sub,wins_by_ko,losses_by_ko,knockdowns_landed,knockdowns_absorbed,strikes_landed,strikes_absorbed,takedowns_landed,takedowns_absorbed,sub_attempts_landed,sub_attempts_absorbed,total_rounds,total_time_minutes,last_fight_date,last_win_date,avg_knockdowns_landed,avg_knockdowns_absorbed,avg_strikes_landed,avg_strikes_absorbed,avg_takedowns_landed,avg_takedowns_absorbed,avg_submission_attempts_landed,avg_submission_attempts_absorbed,avg_fight_time_min,updated_timestamp
01dd4cdc2446f665,Gary Padilla,,1980-05-04,180.34,92.99,,,,12,6,0,0.67,,2.2,27.0,2.0,76.0,0.0,0.0,50.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,33,30,0,1,0,0,3,15,2007-05-12 00:00:00,,0.0,0.0,33.0,30.0,0.0,1.0,0.0,0.0,15.0,2025-05-10T14:14:49.766273
6e9b5c74c0860deb,Marko Damiani,,,182.88,77.11,,,,0,2,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2025-05-10T14:14:49.894764
e56df3c1d8b4b1cc,Homer Moore,The Rock,1971-11-27,177.8,92.99,,Orthodox,,26,9,2,0.7,,0.68,50.0,0.68,0.0,5.07,66.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,4,4,2,0,0,4,1,5,2001-11-02 00:00:00,,0.0,0.0,4.0,4.0,2.0,0.0,0.0,4.0,5.0,2025-05-10T14:14:50.066211
326a001926ffb7ec,Darian Weeks,,1993-11-23,180.34,77.11,182.88,Orthodox,,5,3,0,0.62,,4.49,51.0,4.56,51.0,2.0,30.0,100.0,0.0,3,0,3,0,0,3,0,0,0,0,0,0,202,205,6,0,0,0,9,45,2022-09-10 00:00:00,,0.0,0.0,67.33,68.33,2.0,0.0,0.0,0.0,15.0,2025-05-10T14:14:50.202273
f1fd494586ab8d5f,Antonio Jones,Doomsday,1985-04-12,180.34,83.91,,Orthodox,,6,1,0,0.86,,7.5,55.0,30.0,42.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,0,1,5,20,0,0,0,0,0,0,2018-07-17 00:00:00,,0.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2025-05-10T14:14:50.353753
aeb2bcd4371f40d5,Vadym Kutsyi,,1991-07-18,182.88,77.11,180.34,Orthodox,,17,2,0,0.89,,5.53,48.0,4.94,55.0,3.53,40.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,47,42,2,0,0,0,1,8,2024-09-24 00:00:00,,1.0,0.0,47.0,42.0,2.0,0.0,0.0,0.0,8.0,2025-05-10T14:14:50.523100
51c655162e462ceb,Shannon Ross,The Turkish Delight,1989-05-12,167.64,56.7,167.64,Switch,,13,9,0,0.59,,5.96,39.0,7.39,55.0,0.0,0.0,100.0,0.0,4,0,4,0,0,0,0,0,0,4,0,7,117,145,0,0,0,0,2,17,2023-12-09 00:00:00,,0.0,1.75,29.25,36.25,0.0,0.0,0.0,0.0,4.25,2025-05-10T14:14:50.705364
df0a1c1e11ad199b,Kerry Vera,,,170.18,61.23,,Orthodox,,2,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2009-11-20 00:00:00,2009-11-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2025-05-10T14:14:50.821122
3a524c6700addc24,Tateki Matsuda,Tech,1986-02-27,170.18,56.7,,Orthodox,,13,8,0,0.62,,3.2,34.0,3.43,69.0,0.0,0.0,16.0,0.0,2,0,2,0,0,2,0,0,0,0,0,1,96,103,0,5,0,2,6,30,2015-01-18 00:00:00,,0.0,0.5,48.0,51.5,0.0,2.5,0.0,1.0,15.0,2025-05-10T14:14:51.005950
9b198c73e3d0d289,Justin Salas,J-Bomb,1982-03-13,172.72,70.31,177.8,Southpaw,,12,7,0,0.63,,3.42,43.0,2.96,68.0,2.43,20.0,0.0,0.0,7,3,4,0,2,0,0,1,1,3,1,3,169,146,8,1,0,1,7,47,2016-03-05 00:00:00,2014-05-10 00:00:00,0.14,0.43,24.14,20.86,1.14,0.14,0.0,0.14,6.71,2025-05-10T14:14:51.281709
